state,title,publication_date,report_type,sector,audit_year,detail_url,pdf_url,pdf_size_mb,scraped_at,report_no
Sikkim,Audit Report 2009-10 Sikkim,,,Finance,2009-10,https://cag.gov.in/en/audit-report/details/7951,/webroot/uploads/download_audit_report/2010/Sikkim_Civil_2010.pdf,,2026-07-22T13:43:25Z,
Sikkim,State Finances Audit Report 2008-09 Sikkim,,Financial,Finance,2008-09,https://cag.gov.in/en/audit-report/details/7942,/webroot/uploads/download_audit_report/2009/Sikkim_State_Finance_2009.pdf,,2026-07-22T13:44:15Z,
Sikkim,Audit Report 2008-09 Sikkim,,,Environment and Sustainable Development,2008-09,https://cag.gov.in/en/audit-report/details/7884,/webroot/uploads/download_audit_report/2009/Sikkim_Civil_2009.pdf,,2026-07-22T13:44:15Z,
Tamil Nadu,Report of the Comptroller and Auditor General of India on State Revenues for the period ended March 2023 (Tamil),,Financial,Finance,2022-23,https://cag.gov.in/en/audit-report/details/123412,/webroot/uploads/download_audit_report/2025/Report-7-of-2025-Bond-copy-of-CA-Report-2022-23-Tamil-069984bbf50d468.76002592.pdf,,2026-07-22T13:05:21Z,
Tamil Nadu,Report of the Comptroller and Auditor General of India on State Revenues for the period ended March 2023,,Financial,Finance,2022-23,https://cag.gov.in/en/audit-report/details/123411,/webroot/uploads/download_audit_report/2025/Report-7-of-2025-Bond-copy-of-CA-Report-2022-23-English-069984b84e27418.73235828.pdf,,2026-07-22T13:05:21Z,
Tamil Nadu,Report No. 2 of 2025 - Report of the Comptroller and Auditor General of India on State Finances for the year 2023-24 (Tamil),,Financial,Finance,2023-24,https://cag.gov.in/en/audit-report/details/122037,/webroot/uploads/download_audit_report/2025/Tamil-SFAR-2023-24-068f7066f339602.10032583.pdf,,2026-07-22T13:05:34Z,2/2025
Tamil Nadu,Report No. 2 of the Year 2025 - Report of the Comptroller and Auditor General of India on State Finances for the year 2023-24,,Financial,Finance,2023-24,https://cag.gov.in/en/audit-report/details/122036,/webroot/uploads/download_audit_report/2025/English-SFAR-2023-24-068f705991fcd54.32361460.pdf,,2026-07-22T13:05:34Z,
Tamil Nadu,Report No 1 of 2025 - Compliance Audit (Civil) Report for the year ended March 2023 - Tamil,,Compliance,Finance,2022-23,https://cag.gov.in/en/audit-report/details/121537,/webroot/uploads/download_audit_report/2025/CAG's-Report-Compliance-Audit-1-of-2025-Tamil-06810bbb3b6a887.88265101.pdf,,2026-07-22T13:05:37Z,1/2025
Tamil Nadu,Report No 1 of 2025 - Compliance Audit (Civil) Report for the year ended March 2023,,Compliance,Finance,2022-23,https://cag.gov.in/en/audit-report/details/121536,/webroot/uploads/download_audit_report/2025/CAG's-Report-Compliance-Audit-1-of-2025-English-06810bb45d162d4.01775677.pdf,,2026-07-22T13:05:37Z,1/2025
Tamil Nadu,Report of the Comptroller and Auditor General of India - Compliance Audit (Revenue) - Tamil - Report No. 4 of 2024,,Compliance,Taxes and Duties,2023-24,https://cag.gov.in/en/audit-report/details/119774,/webroot/uploads/download_audit_report/2024/Reports-Revenue-Tamil-4-2024-06683da018bfe13.65569400.pdf,,2026-07-22T13:07:04Z,4/2024
