seq,candidate_name,notes
151,BALWINDER SINGH DHALIWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
152,BALWINDER SINGH DHALIWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
153,BALWINDER SINGH SANDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
154,BALWINDER SINGH SEKHON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
155,BALWINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
156,BALWINDER SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
157,BAL KRISHAN SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
158,BARINDERMEET SINGH PAHRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
159,BARINDER KUMAR GOYAL VAKEEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
160,BARINDER KUMAR GOYAL VAKEEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
161,BARINDER KUMAR GOYAL VAKEEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
162,BARINDER KUMAR GOYAL VAKEEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
163,BARINDER KUMAR,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
164,BAVLESH KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
165,BHAGWANT MANN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
166,BHAGWANT SINGH SAMAON,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
167,BHAGWAN DASS,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
168,BHAGWAN SINGH SOMAL KHERI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
169,BHOLA SINGH BRAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
170,BHOLA SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
171,BHOLA SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
172,BHUPINDER SINGH CHHINA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
173,BHUPINDER SINGH MEHTON,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
174,BHUPINDER SINGH SAHOKE,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
175,BHUPINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
176,BIBI JAGIR KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
177,BIBI JAGIR KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
178,BIDRA RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
179,BIKAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
180,BIKAR SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
181,BIKRAMJIT INDER SINGH CHAHAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
182,BIKRAM SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
183,BIMLA RANI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
184,BRAHMJEET SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
185,BRINDER SINGH DHILLON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
186,BUDH DAYAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
187,BUDH RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
188,BUTA SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
189,CAPTAIN HARMINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
190,CHAIL SINGH DHIMAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
191,CHAMKAUR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
192,CHAMKAUR SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
193,CHANAN SINGH WATTU,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
194,CHANDAN KUMAR GREWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
195,CHAND SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
196,CHARANJIT SINGH BRAR,name_from_filename (Part A regex missed); no_estamp_cert
197,CHARANJIT SINGH CHANNI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
198,CHARANJIT SINGH CHANNI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
199,Charanjit Singh,no_estamp_cert; no_pending_cases_count
200,Charanjit Singh,no_estamp_cert; no_pending_cases_count
201,Charanjit Singh,no_estamp_cert; no_pending_cases_count
202,CHARANJIT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
203,CHARANJIT,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
204,CHARAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
205,CHARNJEET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
206,CHAUDHARY SURINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
207,CHET RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
208,CHHOTA SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
209,COMRADE PRITPAL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
210,DALBIR SINGH TONG,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
211,DALBIR SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
212,DALBIR SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
213,DALJIT SINGH BAINS,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
214,DALJIT SINGH GILL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
215,DALJIT SINGH GREWAL  BHOLA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
216,DALJIT SINGH GREWAL  BHOLA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
217,DALJIT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
218,DALVIR KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
219,DALVIR SINGH GOLDY,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
220,DAMANJIT SINGH MOHIE,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
221,DAMANVIR SINGH PHILLAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
222,DARBARA SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
223,DARGESH KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
224,DARSHAN LAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
225,DARSHAN SINGH BABBI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
226,DARSHAN SINGH BAJIGAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
227,DARSHAN SINGH BRAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
228,DARSHAN SINGH BRAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
229,DARSHAN SINGH BRAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count
230,DARSHAN SINGH KHOTE,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
231,DARSHAN SINGH SHIVJOT,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
232,DARSHAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
233,DARSHAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
234,DARSHAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
