constituency,rank,rank_reason,politician_id,candidate_name,party,won,myneta_total_assets,myneta_criminal_cases,myneta_education,has_eci_match,eci_quality_status,eci_fields_present
SEELAM PUR,2,party_priority:BJP,136436,Anil Kumar Sharma,BJP,0,19239979,0,8th Pass,True,NEEDS_REVIEW,7
SEELAM PUR,3,party_priority:INC,136403,Abdul Rehman,INC,0,5773795,3,8th Pass,True,NEEDS_REVIEW,5
SEEMA PURI,1 (winner),winner,136197,Veer Singh Dhingan,AAP,1,5837000,0,10th Pass,True,NEEDS_REVIEW,6
SEEMA PURI,2,party_priority:BJP,136628,Ku. Rinku,BJP,0,9056365,0,10th Pass,True,NEEDS_REVIEW,10
SEEMA PURI,3,party_priority:INC,136792,Rajesh Lilothia,INC,0,50545167,0,Post Graduate,True,NEEDS_REVIEW,6
SHAHDARA,1 (winner),winner,136198,Sanjay Goyal,BJP,1,544744218,0,Graduate Professional,True,NEEDS_REVIEW,8
SHAHDARA,2,party_priority:AAP,136606,Jitender Singh Shunty,AAP,0,76092538,0,10th Pass,True,NEEDS_REVIEW,6
SHAHDARA,3,party_priority:INC,136586,Jagat Singh,INC,0,21329241,0,Graduate,True,NEEDS_REVIEW,7
SHAKUR BASTI,1 (winner),winner,136199,Karnail Singh,BJP,1,2596736090,0,10th Pass,True,NEEDS_REVIEW,9
SHAKUR BASTI,2,party_priority:INC,136864,Satish Kumar Luthra,INC,0,724959523,0,10th Pass,True,NEEDS_REVIEW,5
SHAKUR BASTI,3,party_priority:BSP,136938,Vijay Kumar,BSP,0,20000,0,12th Pass,True,NEEDS_REVIEW,7
SHALIMAR BAGH,1 (winner),winner,136200,Rekha Gupta,BJP,1,53134981,0,Graduate Professional,True,NEEDS_REVIEW,9
SHALIMAR BAGH,2,party_priority:AAP,136485,Bandana Kumari,AAP,0,115429658,1,Graduate,True,NEEDS_REVIEW,8
SHALIMAR BAGH,3,party_priority:INC,136737,Parveen Kumar Jain,INC,0,276670764,0,10th Pass,True,NEEDS_REVIEW,7
SULTAN PUR MAJRA,1 (winner),winner,136201,Mukesh Kumar Ahlawat,AAP,1,110982888,4,12th Pass,True,NEEDS_REVIEW,4
SULTAN PUR MAJRA,2,party_priority:INC,136594,Jai Kishan,INC,0,7841573,3,12th Pass,False,,
SULTAN PUR MAJRA,3,party_priority:BSP,136632,Kulwant Rana,BSP,0,41875000,0,Graduate Professional,True,NEEDS_REVIEW,7
TILAK NAGAR,1 (winner),winner,136202,Jarnail Singh,AAP,1,40697670,4,12th Pass,True,NEEDS_REVIEW,12
TILAK NAGAR,2,party_priority:BJP,136887,Shveta Saini,BJP,0,6430169,0,Graduate Professional,True,NEEDS_REVIEW,8
TILAK NAGAR,3,party_priority:INC,136738,Parvinder Singh Alias P S Bawa,INC,0,162048836,0,Graduate,True,NEEDS_REVIEW,6
TIMARPUR,1,party_priority:BJP,136920,Surya Prakash Khatri,BJP,0,269150712,0,Graduate Professional,True,NEEDS_REVIEW,6
TIMARPUR,2,party_priority:INC,136638,Lokendra Kalyan Singh,INC,0,687070296,1,Graduate Professional,True,NEEDS_REVIEW,13
TIMARPUR,3,fallback:asset_rank,136927,Tarun Kumar,Republican Sena,0,23245000,0,10th Pass,True,NEEDS_REVIEW,5
TRI NAGAR,1 (winner),winner,136203,Tilak Ram Gupta,BJP,1,23565559,0,10th Pass,True,NEEDS_REVIEW,6
TRI NAGAR,2,party_priority:AAP,136756,Preeti Jitender Tomar,AAP,0,42689094,0,Post Graduate,True,NEEDS_REVIEW,5
TRI NAGAR,3,party_priority:INC,136860,Satender Sharma,INC,0,20031200,0,12th Pass,True,NEEDS_REVIEW,7
TRILOKPURI,1 (winner),winner,136204,Ravi Kant,BJP,1,2047145,0,Post Graduate,True,NEEDS_REVIEW,9
TRILOKPURI,2,party_priority:AAP,136442,Anjana Parcha,AAP,0,6522872,1,Graduate,True,NEEDS_REVIEW,7
TRILOKPURI,3,party_priority:INC,136425,Amardeep,INC,0,20736780,0,10th Pass,True,NEEDS_REVIEW,10
TUGHLAKABAD,1 (winner),winner,136205,Sahi Ram,AAP,1,13899388,2,10th Pass,True,NEEDS_REVIEW,7
TUGHLAKABAD,2,party_priority:BJP,136833,Rohtash Kumar,BJP,0,54218749,0,Post Graduate,True,NEEDS_REVIEW,3
TUGHLAKABAD,3,party_priority:INC,136951,Virender Singh,INC,0,190233937,0,Literate,True,NEEDS_REVIEW,4
UTTAM NAGAR,1 (winner),winner,136206,Pawan Sharma,BJP,1,64685034,0,Post Graduate,True,NEEDS_REVIEW,4
UTTAM NAGAR,2,party_priority:AAP,136743,Posh Balyan,AAP,0,726940052,0,Graduate Professional,True,NEEDS_REVIEW,8
